OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
451,Oromia,Ilubabor,40316,Hurumu,4f70336f-6d9f-4fea-83c5-efccd993ab90,678394986.9,126764.6833
452,Oromia,Ilubabor,40314,Becho,ebeaa736-b072-4ba2-b803-aade2be5bfdf,347243852.1,86339.65758
453,Oromia,Ilubabor,40306,Gechi,41fb9efe-a230-4c60-9137-77f1ca569bee,678050394.4,113543.0029
454,Oromia,Ilubabor,40322,Badele Zuria,25c0deb6-458a-40b9-ae2f-10952ec28290,850357295.6,128488.6169
455,Oromia,Ilubabor,40324,Dorani,8c87d901-ee4d-467f-80a3-633ec8b042c7,329685374.8,85460.49735
456,Oromia,East Wellega,40205,Boneya Boshe,ede2a1b5-a111-4b96-a0c6-25eeca362667,478684386,91649.1912
457,Oromia,East Wellega,40208,Gobu Seyo,372d0d60-3c24-4c9a-af1a-911dd4f03693,446690444.8,107615.8729
458,Oromia,East Wellega,40212,Leka Dulecha,e618c81d-7b65-408d-bfa9-0c1b58894b02,619454586.6,125599.1738
459,Oromia,East Wellega,40209,Sibu Sire,2e61eabc-ed08-4b37-8ff5-284364c2c3c1,1042638595,161980.9714
460,Oromia,East Wellega,40206,Wayu Tuka,1b1f17cf-dc0a-4c2d-8e56-aaa26d7aa3bc,504370721.9,113644.9217
461,Oromia,Horo Guduru,41909,Amuru,602a2d77-0a98-4890-aa10-10e75c0a40aa,1204848537,160857.3123
462,Oromia,Horo Guduru,41906,Jimma Genete,5c637445-4404-458f-bb89-0a3cd02a25fc,488567621.5,128697.8944
463,Oromia,Horo Guduru,41904,Ababo,88c0b4c4-5410-44bc-adae-fab61580a5c5,1055941983,151002.1712
464,Oromia,Jimma,40416,Gumay,a6eb471b-b838-4518-b9dc-73ac32662efc,557937727,106100.8491
465,Oromia,Jimma,40409,Seka Chekorsa,e5164f1d-f388-4dbe-8098-7a01fd20f7f0,491063935.7,105993.2632
466,Oromia,Jimma,40402,Limu Kosa,92948829-1d95-4b3a-b674-01346eee9f73,1399107462,189348.4092
467,Oromia,West Shewa,40516,Abuna G/Beret,0758f8a1-b6a1-4388-bedd-40fa32fce804,1068430455,174259.3547
468,Oromia,West Shewa,40519,Ifata,4ba14c2d-42b9-4d15-bb1b-2dc0f008abf5,426357034.9,92085.47681
469,Oromia,West Shewa,40517,Toke Kutaye,c820f76c-8cbd-4c4c-80bc-3109c8b59afd,550243492.5,114359.141
470,Oromia,West Shewa,40504,Mida Kegn,0f3703c7-6a3a-4ce4-952d-76f94db28711,819100574.5,108929.4017
471,Oromia,West Shewa,40518,Jibat,8a14b223-b8a7-43b1-932f-7f654cdd6ba0,496905864.3,106918.9949
472,Oromia,South West Shewa,41312,Goro,87b32865-55f7-4b89-b809-b324438845dc,558664471.4,107461.3715
473,Oromia,South West Shewa,41307,Kersana Malima,c325e86c-7379-4ec4-92ea-aacf92657c07,372591988.5,101246.9343
474,Oromia,North Shewa(R4),40607,Debre Libanos,e2db3f7a-c51d-4b39-837d-e49e40ea8d32,207483427.2,65394.54773
475,Oromia,North Shewa(R4),40616,Mulo,893c7bdb-26ce-4872-9af7-4c7d3c3de04b,562704390.6,96373.57896
476,Oromia,North Shewa(R4),40617,Aleltu,22632038-ccbc-4096-9077-c7f756796468,428873180.3,122626.5857
477,Oromia,North Shewa(R4),40615,Jida,09741fdb-80b0-4241-afcb-17340bef6bf5,340820789.8,99085.71267
478,Oromia,East Shewa,40710,Bora,6b5e4d1d-21c5-4a33-a619-61b5757fa6b4,422774311.7,94262.65715
479,Oromia,East Shewa,40711,Liben Chukala,17027fff-ad6c-4e01-b9dc-efc1904321cc,721774310.9,110761.9549
480,Oromia,Arsi,40805,Dodota,75a46681-f0a7-40ee-8ee6-455de7fd52fc,471148891.8,137267.2514
481,Oromia,Arsi,40821,Lude Hitosa,2293165a-9d16-46fe-a7e4-fcfbfd7fcd66,544832759.5,112885.1584
482,Oromia,Arsi,40813,Tena,4b268030-1db9-44e8-b377-2298e5d26e7a,461018828.5,95113.62344
483,Oromia,Arsi,40822,Diksis,54a7ab2f-6168-4de9-8881-d7943749d3a5,442960971.6,121500.5559
484,Oromia,Arsi,40824,Inkolo Wabe,b9f30738-2938-49fb-b32c-8d3cfe9259fd,319133823,105209.2824
485,Oromia,Arsi,40819,Guna,b1ad3e71-9db6-4daa-aef6-28cc2ca81f03,525863502.3,130896.3255
486,Oromia,Arsi,40823,Bele Gesgar,66dbd1dd-e118-4b83-a3f9-32975797587f,720705401.7,185872.0293
487,Oromia,West Arsi,41701,Siraro,38cd5791-d019-4f10-bcd5-52c14318751d,605527258.2,111868.067
488,Oromia,West Arsi,41705,Kore,850f3808-3b8b-4982-80ab-c407fd7ec3a9,578492415.3,147774.4261
489,Oromia,West Harerge,40907,Goba Koricha,abd63399-21a0-4a34-9acd-8c5c7905d3ab,607936568.9,119463.3743
490,Oromia,West Harerge,40913,Chiro Zuria,d13e9c73-eb2b-4e13-ae0b-fb3d56b3aa90,675609057.3,120339.5436
491,Oromia,East Harerge,41014,Midega Tola,e3b85d7a-4e10-4911-8712-86852dda384c,845196479.5,119875.5749
492,Oromia,East Harerge,41018,Meyu,6d1f467e-70aa-43d0-89af-0ecd73ad13a6,3810020807,388481.1986
493,Oromia,East Harerge,41015,Chinaksen,55f3b08a-5cca-42d6-a71e-f89d3cef8b70,1552893031,187657.2832
494,Oromia,Bale,41106,Gasera,db049e86-4705-4740-9b7f-e640d8d7eb32,1166561235,201043.8694
495,Oromia,Bale,41122,Dinsho,cc4e0449-4a0b-491a-989f-6ff4057eaf58,663119363.5,124563.1573
496,Oromia,Bale,41111,Harena Buluk,f420ebef-6e2a-4c2a-9f81-bee137161d76,1993273366,209173.0349
497,Oromia,Bale,41116,Goro,e86a119d-c802-4c05-9e78-4d24b17d6585,1316133078,170535.3656
498,Oromia,Guji,41408,Afele Kola (Dima),e38e7eff-053d-485e-b272-60e2d1293b2d,383825592.4,113718.5442
499,Oromia,Guji,41406,Kercha,ac5e96d2-6c36-48d9-a5bc-2b2cc74f83d1,689405487.2,122919.9994
500,Oromia,Guji,41409,Hambela Wamena,c4beac23-b9ba-47f0-bbf0-24c4e6153a64,490881188.2,122453.4493
501,Oromia,Guji,41410,Girja (Harenfema),a12c4769-2442-4fd1-a1a9-8056d0286d90,742433800.4,135165.1433
502,Oromia,Guji,41404,Wadera,3d63a1e4-1096-41e0-ac18-1262c70aef4d,1183629647,172320.7896
503,Oromia,Borena,41213,Abaya,c2fad88e-4f9d-41e8-bb7c-9dbe1d937c30,1523401546,188448.2076
504,Oromia,Borena,41206,Bule Hora,ecea8e09-fac6-47c6-a5a7-ae6a008baa6b,1360409487,174161.8918
505,Oromia,Borena,41207,Yabelo,b836cf6e-179a-420e-865a-41201b5dba21,5992908881,375484.0655
506,Oromia,South West Shewa,41314,Sodo Daci,b30d1d16-8855-4219-b0cb-8e0d776c5f48,338765693.2,85401.79162
507,Oromia,South West Shewa,41313,Kondaltiti,68094a20-a4b4-46a5-8c36-73de789e0381,380542013.9,119347.057
508,Oromia,Borena,41215,Dugda Dawa,872da1e9-485a-414a-a580-4bb534baf9e5,2068206079,331976.4994
509,Oromia,Borena,41218,Melka Soda,fe08268b-8b24-4c91-b944-2b5d008e51b4,1798392188,225162.3932
510,Oromia,Borena,41219,Dillo,c3355f45-5262-4ce9-b501-3acaaf969f8d,3989780524,336091.1746
511,Oromia,Borena,41211,Dire,637dacb6-05ae-4462-9242-15bc21b51193,4925294873,348490.8026
512,Oromia,Borena,41216,Miyo,5062e712-95b2-4280-8bc3-b7a238ec1a58,1829800079,237865.1594
513,Oromia,Borena,41220,Dehas,933e82b0-e543-4cf2-9df5-e42a14fb18a0,4236814545,335474.2433
514,Oromia,Borena,41208,Arero,d4bb7891-6409-4e2c-aefc-44fe847b4803,8821113533,505365.0434
515,Oromia,Kelem Wellega,41809,Gidami,73416132-3e4d-46ed-a7d1-ade3169994a4,1980829128,235790.1562
516,Oromia,Kelem Wellega,41807,Anfilo,56aa70bb-1ccf-457b-ae0c-0bf01f36072c,1443368547,186950.2352
517,Oromia,Ilubabor,40312,Bure,d4b82aee-7b5c-455f-8710-2764c7b7bf3a,1104406333,137519.2233
518,Oromia,Kelem Wellega,41805,Sayo,a2a9c9ed-c01a-4395-9eed-e39568336283,1059735176,146707.934
